,progress_10_years_tr
9999,
10000,"that in elections, filling of leadership positions, in sports ... it is no longer necessary to talk about how many WOMEN have been elected, what WOMEN have achieved, but that there is a matter of course that we can do this and talk about people, i.e. not '`reduced'` to gender"
10001,Equality largely achieved. Sexism is more strongly prosecuted publicly and by law. Quota regulations are given greater consideration in politics and business.
10002,A small step forward in terms of professional equality and finances
10003,
10004,"Absolute equality as a human being and recognition of their shares in society, because the achievements of the different genders are different, but not offset against each other.\r\n\r\nN there is no gender that is more important than the other!"
10005,
10006,
10007,Equality in all areas
10008,"Equal wages, taxed separately"
10009,
10010,"shit, sorry"
10011,
10012,Embarrassing little
10013,"I hope until then ALL people are equal to any gender, origin or skin color! A wishful thinking but I am an optimist! "
10014,
10015,Name and break down genuine equality in all areas of life and patriarchal structures
10016,
10017,... if violence and discrimination against women should come to an end and if equal wages were (are) paid for equal work performance.... then in 10 years it could look better for the women....
10018,
10019,Equal pay for equal work with equal opportunities for education and training. Prohibition of forced marriage and marriage of underage girls. Prohibition of female circumcision worldwide. Prosecution for murder of wife/partner. Prosecution for rape by law.
10020,Better
10021,"Depends on region. In Europe, a high degree of equality can hopefully be achieved with a rethinking of the people. Worldwide, this goal is probably too high in 10 years"
10022,
10023,"Women earn the same as men, part-time work and home office is completely normalized, more women than men in management positions, longer paid parental leave, normalization of non-existent desire to have children, legalization of abortions, state covers costs for contraception and menstrual products, change of rape and coercion laws (only yes means yes), there is no need for women'`s quotas anymore because everywhere there are the same or more women than men. "
10024,"As long as the other half of the population (men) do not support the demands of women 100%, changes will be delayed in 10 years."
10025,Bad
10026,
10027,
10028,"Hope that women in Africa, Asia and Central & South America will then become more self-determined through less cultural abuse (circumcision, marriage compulsion, vocal power). To do this, however, they also have to help develop their own perception of themselves. The chances are good, I think."
10029,"Equal pay, equivalent representation in politics and business."
10030,
10031,"That human rights apply to all people, whether male or female or transgender or whatever. That especially in countries where women are still severely oppressed, the laws are increasingly adapting to the liberal, more forward-countries and women are experiencing more freedom and respect. "
10032,
10033,"More autonomy for women/FLINT, more equal pay."
10034,Good
10035,
10036,
10037,hopefully better
10038,
10039,Better
10040,As long as the economy determines no
10041,"Shift in working norms that don'`t put the pressure on women to be the main child support - 4 day work week adoption, equal maternity and paternity leave, full pay transparency within companies"
10042,more self-determination\r\nPayment equality\r\nless repression
10043,
10044,"I see progress above all in talking and writing about it, but realistically hardly in doing and being."
10045,
10046,
10047,"The way it is at the moment, I don'`t see any big changes, but if we all keep ""fighting"" and open people'`s consciousness to it, something can and will change. I'`m just saying equal rights for all. I am in good spirits that something will happen in the future. To give a few examples, equal wages for women, transgender people and all the others. Equal rights in all offices and so on. We are all human beings and nothing else. There is no difference."
10048,"Equal pay. That housewives/mothers are paid fairly or basic income. The part-time work is no longer a disadvantage for the women and you generally receive recognition and appreciation for what you do. All daycare centers should be charged according to the income of the family that it is fair for everyone. Only pay as much as you can. Women can move freely as you want without fear of being abused. In general, the female force should be established in society. The strengths of women should be taken just as seriously and very important in today'`s world. Intuition, togetherness, caring for others, the soft gentle and also strong in the sense of female strength is not comparable to any strength. (Giving birth) "
10049,Slow progress!!
10050,It goes slower than we would like. Constant drops hollow the stone. - The worldwide shift to the right and the tentacles of China make me concerned.
10051,
10052,
10053,"Better than today, I hope!"
10054,Equality and justice for all. No racism and sexism. Freedom and radical democracy also in the economy. Environmentally friendly action.
10055,"As long as macho status symbols are maintained, money/possessions/power/arrogance etc. none. When women stand behind men/cultures that mock a differentness and homophobic societies spread with it."
10056,Equal parental leave. Violence and abuse are heard and punished more severely. Abortion is legal throughout Europe. Equal pay for equal work. Unpaid work is much more valued and validated. Equality in the upbringing of children. Marriage for all throughout Europe. Sex work is a freely selectable profession with insurance and good employment conditions. 
10057,
10058,"Availability for abortion for those who want and need it without fear.\r\nWomen being able to live their lives without being constantly aware of potential risks to their safety - in other words, to live with the freedom that men enjoy."
10059,"In some cases, a rethinking took place among men. Why this does not yet happen nationwide is a mystery to me."
10060,"there will be more women in politics and business - but only as a sham through ""women'`s quotas"". Wage inequality and general discrimination will continue."
10061,not only local but global progress in gender equality
10062,"For me, progress would be if the difference between gender (both; gender and sex) were no longer socially, economically and politically relevant. This means that systematic, latent forms of discrimination based on public debate are also recognized and then abolished."
10063,
10064,
10065,
10066,
10067,"Do they ever bring professional work and family work stress-free ""under one roof""? Will your spouse or partner each take over 50% of the family work?"
10068,"I very much hope that the necessary change will happen, and we women will be appreciated again \r\n, and women and men support each other"
10069,
10070,Needs to be much better
10071,
10072,
10073,"the most important change is social (mental), triggered by laws and the like \r\nthby hopefully the rigid gender roles disappear & thus a lot of suffering, violence, inequality ..."
10074,
10075,
10076,"Access to education, progressive working conditions and adequate remuneration, or no wage differentials between the sexes, increased pension and pension survival in domestic work (housewives, mothers), acceptance and respect for women, massively higher imprisonment and fines for sexual crimes, equality in all areas, lower costs for contraception and menstruation (pads & tampons), better contraception (contraception) in the sense of we > more research in this area. "
10077,
10078,
10079,
10080,Equality for all people
10081,
10082,"The term ""woman"" makes no difference. It no longer needs differentiation to have the same status."
10083,"I am cautiously positive, but much still needs to be done against the extreme right (SVP) for progress to really begin."
10084,Cautiously optimistic: I am counting on the young generation also in Muslim countries 
10085,Better
10086,"To be a woman and not to be like a man just to fit into this economy. Vision of a society that is not only looking for performance and profit but also for holistically healthy living of women, men, children, animals and plants.  "
10087,Many women in management positions who stand up for women.
10088,
10089,Not needing to voice concerns about women'`s human rights any longer.
10090,
10091,"Choices for both/all genders.Gender identity is not becoming more and more differentiated, but less determinative for everyone. "
10092,
10093,
10094,Women live a self-determined life
10095,
10096,
10097,
10098,
10099,
10100,
10101,
10102,
10103,"Equality for all people worldwide. Unfortunately, in 10 years probably not yet the reality."
10104,Unfortunately still the same as now....
10105,
10106,I don'`t know.
10107,fair division of labour at home/equal opportunities in education and work/equal pay/protection against (sexualised) violence through legislation
10108,"Economic equality, greater awareness of sexual violence"
10109,
10110,Equality at all levels.\r\n\r\nNo purely gender-specific rights/obligations
10111,"no violence, equal pay, more bosses"
10112,lean
10113,
10114,
10115,"If we do nothing, say nothing, just remain silent, then not at all continue as before.\r\nWe must all pull together and stand up for our equality! Then I see tremendous progress "
10116,equal rights and equal pay for women and men
10117,Equal political professional and individual rights equal pay.
10118,
10119,Able to express opinions about our bodies and rights freely without an unwanted opinion from a man
10120,
10121,"Equal pay, end of sexual abuse, more political influence "
10122,
10123,"Women are allowed to be the way they would like them to be, period. They have the right to self-determination, are not perceived as sexualized objects and have the same opportunities as men. However, they should not be denied a traditional lifestyle if they so wish."
10124,"In our country we are making some progress ... \r\nIn other developed countries about the same ...\r\nIn countries with totalitarian governments, hardly any progress will be made"
10125,
10126,"To live in the future in a world in which we would not even have to talk about topics such as equal pay, paternity leave, dress codes, sexual orientation, etc., since they no longer exist... :-)\r\n\r\n Would be nice if no distinction were made between people (woman, man, queer, dark-skinned, fat, Christians, Jews, burqa-wearers, etc. \r\nI wish me a world,  in which such superficialities are finally recognized as such. Equality = equal rights for all, without *but*.  There should *never* be a but. But each one is too much when it comes to such topics: ""I have nothing against foreigners, but ..."" Nope! No but!\r\n\r\nDer, this view is not very realistic, especially if it is supposed to arrive in 10 years.\r\n\r\nI think by then, we may have achieved \r\n– that sex offenders receive a proper punishment;\r\n– that something like paternity leave is considered normal;\r\n– that the work of the parent who stays at home,  is considered valuable and wholesome; \r\n– that the suffering + dying of people may be seen as a single drama, regardless of *how* they have suffered/died;\r\n– that we finally devote time to climate change and our role in it and present working solutions (CO2 = in 2050, is ridiculous when we already reached the melting point ""of no return"" in the Arctic last year);\r\n– that the economy,  or economic growth, which is no longer valued so highly and we can thus leave the values and views of the ""boomer"" generation behind us.\r\n\r\n Above all, however, I wish that humanity understands that if you give/allow/shake hands with others, you yourself will not become poorer or more disadvantaged. She should understand that the ""good old times"" were not better, but the people there were younger.\r\nOmething of the most important thing seems to me, however, that it is understood that changes are part of life, that not everything can remain as before. Everything is subject to constant change, which should not instill fear, but as an opportunity for change in a hopefully better future.\r\n\r\nFinding, my greatest hope for 10 years (especially after this corona pandemic) would be that the value of a human life, or the value of life in general, will be recognized and respected - regardless of other criteria."
10127,
10128,
10129,Equality in all areas has been achieved
10130,I hope for SIGNIFICANT progress.
10131,"All women having the same opportunities from birth - Things have no doubt improved for heterosexual, white British women living in the UK (like myself). We need to begin to see changes for minority women, whether they are racial minorities, disabled, part of the LGBTQ+ community or any other women who don'`t fit any of those boxes. The same opportunities need to be given to young girls (and boys) from every background to even the playing field and allow women from all different backgrounds and abilities to thrive. We also need to teach young women in school how important it is to support your fellow girls/women. Too often do we see women pinned against other women, women degrading other women etc when we need to come together to be stronger. "
10132,highly threatened
10133,"unfortunately still too little far. Still too many patriarchal structures, especially in ""developing countries""."
10134,
10135,#NAME?
10136,value-free equality of all people
10137,"No violence against women, no discrimination, equal pay, family-friendly jobs for women and men "
10138,Equality in all areas of life. 
10139,
10140,"Men work more part-time, take more care of family and children, and thus reduce the disadvantage of women in the job market"
10141,"Equal rights, educational opportunities, for men and women"
10142,
10143,"Difficult, I'`m a bit pessimistic, it will probably only improve slowly. But still: Women onseuent fordern/demand/support."
10144,
10145,
10146,
10147,"The public and politicians recognise the inequality of women in all areas, address them and support change"
10148,Difficult
10149,absolute equality
10150,"Hopefully a little better, but globally it will take much longer than 10 years. More like 100 years."
10151,
10152,
10153,
10154,not much better - unfortunately
10155,
10156,
10157,Equal rights for all.\r\nRespect -\r\nThat every woman can use her talents as an opportunity for community on the planet
10158,
10159,"Women are encouraged, supported and better paid. Women receive a very good education and wonderful healthy care globally and are economically secure."
10160,Like today!
10161,
10162,
10163,
10164,
10165,"Finally equality in terms of education, wages, career opportunities, no sexism, no violence"
10166,
10167,
10168,
10169,
10170,good
10171,increased protection during sex violence: consent mandatory. improvement bvg and ahv. parental leave. more women in management positions
10172,"To our regret, this will certainly still be an issue in 10 years. However, more people will be sensitized and that'`s a good thing."
10173,
10174,"Progress will be there, but we will not be there yet."
10175,with small steps it goes forward
10176,"I see progress in making more FLINT+ aware of their own discrimination, reducing inequality and allowing every woman to be a woman.\r\nConcrete: equal wages, equal respect in all professions, perceiving sexual assault as such, breaking stereotypes and so much more!"
10177,Hope good or always better
10178,
10179,"Start to use social economic model instead of a capitalist one (e.g. doughnut economics) to include all those who are missing from the capitalist model - pay carers a living way, pay the NHS workers a good wage. Make sure all tenders for government contracts are fair and go to the best and most skilled and effective person for the job.\r\n\r\nEquality of opportunity for everyone - especially to level the field for GEM and disabled women who are routinely discriminated against, to stop hate speech before it starts. Educate boys and men that women should not need to protect themselves against rape and sexual assault, but that men and other perpetrators should not rape (and should acknowledge their responsibility for sexual violence). \r\n\r\nSupporting and having enough accommodation/resources for homeless women and victims of VAWG so that everyone who needs help can be given it by experts in the field. \r\n\r\nGiving disabled women and girls the resources they need to be able to be as valued and active in everyday life as people who don'`t need extra help are - use the social model to make sure people realise that disability is something inflicted by society on people who are different from the norm in a society created for the non-disabled. "
10180,"I would like to look optimistically and positively into the future of women and I will never lose faith. The developments worldwide so far are unbelievable to observe but also frightening! There is still so much ignorance and disinterest in this very important topic and the ignorance is very great. I think 10 years is far too short a period of time to be able to foresee a quasi-glorious future. It will take 2-3 more generations before serious changes can finally take place. However, what I can observe, which is beautiful, is that the younger generation (not all but many) are already sensitized to this topic and really want to deal with it and it becomes a matter of the heart. This is incredibly beautiful to see! Education plays a very important role here, worldwide. We ALL need to get rid of these conditionings, or let'`s say dogmas, so that we can move forward. But, to answer this question, a quote from Nina Simone (Eunice Waymon): ""What kept me sane was knowing that things would change, and it was a question of keeping myself together until they did."" We have to stick together and stick to it!"
10181,"My hopes would be that: All women in the world have free access to education. Abuse and mistreatment of women is taken seriously and more women'`s voices are heard regarding this and appropriate actions taken. Women feel able to protect their sexual and general health without fear of retribution. Women of all races, economic and social backgrounds are treated equally and have access to economic resources to support them in need. In particular, women should be able to be financially independent and access funding so they are not trapped in relationships of any kind (marriage/parents etc) if they are suffering abuse. More world leaders are female so that these issues are addressed, rather than relying on the status quo political patriarchy. That women can be at the forefront of the economic recovery from COVID, and prevent environmental disaster due to their input in climate change policies. That'`s a lot to achieve in 10 years I realise. But I live in hope, and solidarity with women across the world. "
10182,
10183,
10184,Gloomy
10185,Globally differentiated 
10186,"The next generation is more emancipated again, there are more women in leadership positions, and equality has progressed a little bit."
10187,"In my region, especially longer paternity leave / free distribution of parental leave between father and mother as well as equal pay"
10188,
10189,Unfortunately not much better than at the moment
10190,
10191,"Equal pay for equal work, reconciliation of family and career, higher proportion of women in top positions"
10192,"Everyone can do what they want to do for themselves if it doesn'`t hurt anyone. Everyone should feel happy, valued and safe in their own way."
10193,
10194,
10195,
10196,
10197,at least 50% women at all hierarchical levels of society: i.e. both men are 50% involved in care work and women are 50% in all management positions
10198,
10199,good
10200,"Intersectional approach. Fair pay and employment opportunities for women across the world, especially in low paid sectors. Equal division of care responsibilities. Equal representation of women, including WOC, disabled women, LGBTQ+ women and other minorities in leadership roles. A obvious reduction in poverty across the world. Improved education around sexual health, reproductive health and bodily autonomy. Increased numbers of girls staying in education. Increase of rape and sexual assault convictions. "
10201,
10202,"Equal pay, equal educational opportunities, support in reconciling work and family life"
10203,"they are no longer murdered, discriminated against, treated with violence and deserve equal pay for equal work and have equal opportunities in working life"
10204,
10205,"more advanced than now, but by the wrong norms of society, women are still oppressed. "
10206,Finally equal income and women in management positions.
10207,Higher recognition of women'`s work and better remuneration. Paid or redistributed care work. Better childcare.
10208,"Proportional (at minimum) representation (of both gender and race) in corporate and political leadership. In some cases, even skewed in favour of diversity (ie - disproportionate in favour of minorities)."
10209,Total equality. \r\n
10210,
10211,"genuine equality, parental leave, part-time work of men and women in equal parts Femicides are referred to as such and not as a family drama or honour killings"
10212,Furthermore: Better than now. 
10213,
10214,
10215,"Equal pay for equal work, strengthening of self-determination and self-employment skills"
10216,
10217,
10218,"Fair pay for women, fair distribution of family work between men and women, no poverty in old age for women"
10219,Better but I am not so sure if they will be in acceptable levels 
10220,
10221,"Women'`s human rights will hardly look better in 10 years than they do today if the government continues to see no need to implement the Istambul Convention, with about 200 femicides in 2020 (the number of unreported cases probably much higher). - Economically, it could get a little better."
10222,
10223,Equal pay for the same work \r\n
10224,"Women have equal rights in all countries,"
10225,
10226,
10227,Equality is hopefully no longer a theory
10228,
10229,I don'`t think much will change in 10 years; it takes more time. But it will be especially the young women who are committed.
10230,
10231,"Globally more freedom and justice for women as well as protection against attacks. addressing the problem and finding solutions in countries that are still far from equality. Assistance from more advanced countries and women'`s organisations in these countries. In our latitudes, the discussion on political law and the enforcement of the rights won must finally become. Socially, it must become self-evident that women do not experience any disadvantages, in whatever situation."
10232,"Women get more pay, after the birth a long re-entry after about 6 months makes it easier to master the everyday life of work and family.\r\nMore men working part-time leads to social equality between men and women"
10233,
10234,
10235,
10236,
10237,Equal opportunities\r\nIndependence
10238,No more disabilities due to sexism - equality between women and men - better support in working life etc. etc.
10239,Hopefully equality will be achieved\r\nBut the climate crisis is likely to exacerbate inequality
10240,In the Catholic Church there are priestesses who are married or unmarried. \r\nAll women in the world have access to education. \r\nWomen decide whether they want to get pregnant or not. \r\nWomen decide for themselves whether they want to be circumcised or not and are taken seriously!\r\n There are more female politicians than today. 
10241,
10242,#NAME?
10243,"Equal pay, assumption of costs for menstrual care products by health insurance, equal opportunities for jobs, safety on the street / at night, etc."
10244,"Unfortunately, my realistic guess is not a pleasant answer. There is no progress in Switzerland, even the opposite is the case. My environment does not long so much for improvement, and quickly ridicules the topic. Of course, this is only my view and I may be in a filter bubble and not notice that we as a society are moving in the right direction. Anyway, I hope that'`s hard..."
10245,Equality in all areas.
10246,Equal earnings\r\n Recognition of care work\r\nDises in cases of harassment / violence / abuse\r\nInterquestion of structures / Fewer stereotypes
10247,More women in leadership positions and in politics. More men looking after children. Equal pay for equal work
10248,
10249,Equal pay\r\nLegal equality\r\nProtection against violence
10250,"Equal pay for equal work, protection from sexual - physical and psychological exploitation, oppression and violence, fair compensation for volunteering"
10251,"Men understand and works on equality, too. Not only feminist pissed off women. "
10252,
10253,
10254,Financial equality (also i d pensions); division of labour in the family; No violence against women\r\n
10255,"Genital mutilation is consistently prohibited and punished. Care work recognized legally, fiscally, financially fair. Taxes no longer encourage women to work less in marriage. Much more measures, education etc. on domestic & gender-based violence. Educational lessons that refrain from a classic woman/man norm, recognize sexuality as a palette and not only treat contraception in heterosexual penetrative sex. Equal pay! More daycare places. "
10256,
10257,"An environment where it is easy for each woman to stand up and raise their voices. I think that the action of ""not reading the air"" will create the future era."
10258,Hopefully no arranged marriages\r\nNo intersection of women\r\nEqual pay
10259,
10260,"No more harassment, equal pay for equal work "
10261,
10262,
10263,"We should be human, not genders "
10264,"Hopefully much better, but if the economy gets worse, I think women will suffer."
10265,
10266,
10267,
10268,Equal pay for equal work; Financial support for single mothers (and fathers); 
10269,
10270,
10271,"Equal rights, equal access (education, jobs, sports clubs, ..), equal pay, equal old-age pensions, less stigma that women are no longer portrayed as raven mothers (if they work too high) or fragile and in need of help, more freedom for women who are oppressed"
10272,
10273,"Equal pay\r\nLGBTQ+ friendly, without discrimination"
10274,"Equal work, equal role, equal pay, equal appreciation and equal treatment."
10275,"Comprehensive parental leave for all genders, adaptation of criminal law Art 190 Rape (only yes is yes, extension to all genders), closing the gender pay gap, abolishing the pink tax"
10276,Progress what progress?
10277,
10278,"I hope that in 10 years, equal pay will be paid for equal work, that women* will have more career opportunities (already on lower floors, up to the executive floor), that everyone will be granted the right over the single body (including abortion), that the community as a whole will be critical of prejudices, systemic discrimination, racism, ... that we as a community show more openness and understanding for ""others"", show our curiosity about other countries and cultures not only during the holidays or when choosing a restaurant, but also directly in dealing with our fellow human beings, that women* are better protected against violence and that the causes of violence are directly addressed, ..."
10279,Better
10280,
10281,Equal pay for equal work!
10282,Legal regulations are identical for all people regardless of gender/gender or sexual orientation.
10283,
10284,Women have a global residence and working title (law)
10285,That all people in Switzerland go to demonstrate on Women'`s Day and that it becomes a concern of the entire population.
10286,
10287,Equal opportunities and access to education
10288,still too slow
10289,
10290,
10291,
10292,"equal rights, equal opportunities, balanced seating of positions of power. new concept of work, inclusion of care work"
10293,
10294,
10295,"Freedom (more time to live, be it alone or with a partner, family, job; enough to be able to live economically carefree); Respect for individual lifestyles, whether without or with children, professional opportunities and goals, etc.; Equality as a matter of course "
10296,Self-determination and full equality in all areas
10297,
10298,Hardly better
10299,
10300,
10301,"Violence and rape of women (children) are very rare, as in war and peace consistently punished, accepted as a reason for flight. No more wage discrimination, care work is carried out, valued and well paid by all genders. Women are welcome in all professional fields and can make a career just as much as men. Childcare is distributed across all genders and is not a disadvantage in the professional career or for retirement. Women (e.B single educated) are no longer more affected by poverty than men. "
10302,
10303,Equality
10304,
10305,Only different sensations between people and not between genders
10306,"Equal pay, similar share of executive positions, no sexual abuse"
10307,?
10308,Care work has the value it has (systemically important!) \r\n Old-age provision
10309,Legal and financial equality with men
10310,
10311,Femicides are taken seriously and prosecuted accordingly.  Parents no longer raise their girls to be pink princesses. Sexist advertising has become superfluous because no one buys something advertised anymore. 
10312,
10313,Equality
10314,"That it is no longer so often the first to ask ""do you have no children?"" "
10315,"Equality - ecologically, financially and politically"
10316,Klein
10317,
10318,Equality of all people in harmony with nature and the environment.
10319,
10320,"An end to gender-based violence. Equal opportunity for men and women. Equal access to spaces across different sectors whether that be schools, different kinds of work or in politics. Equal healthcare where women'`s concerns and pain are listened to with as much belief as men'`s. Equal representation of women in media. Equal pay for men and women. An end to gender stereotyping. Equal parenting and caregiving where men also take on care work and the domestic workload. Equal responsibility for safety, by that I mean currently whenever a woman is the victim of a crime women are urged to stay at home and in effect to make themselves smaller and take up less space because of their safety when actually men should be taking responsibility and when gender-based violence happens it should be men who are given curfews and urged to change their behaviour. The responsibility should always be with the perpetrators not the victim."
10321,more equality
10322,
10323,Goal: Every woman (every person) is unique
10324,
10325,Shockingly slow 
10326,
10327,more equality and self-determination for women in general
10328,There will be multiple rights for women at all levels
10329,"Equal pay for equal work, care work is compensated/recognised, more senior women"
10330,"Parental leave expanded and divided between both parents -> fathers more involved in care work -> better employment models for women and men\r\n\r\nbssexer remuneration in ""systemically relevant2, typical women'`s professions\r\n\r\ngendergerechte Sprache\r\n\r\nsexual education in schools encourages boys and girls to live a pleasurable and nourishing sexuality\r\n\r\nhäusliche Gewalt is no longer acceptable and is addressed\r\n\r\n Cycle knowledge ( regarding the female month cycle, but also to other cycles) is again common property and valued; in addition to the linear, always-everything-now mentality"
10331,"That there is progress all over the world and that it is recognised that women do not have the same rights as men and that something will be done about it, even if this may only be possible in small steps. In concrete terms, it would only be great if women could receive more education."
10332,Equality independent of genders or ethnicity 
10333,Equality in all areas
10334,"The ending of Intersex Genital Mutilation (IGM) and the criminalization of its practitioners. \r\n\r\nFull equity for all intersex people, not just mere tolerance, and thus full protections under the law. \r\n\r\nFull public knowledge of and awareness of the existence of intersex people everywhere, of how brutally oppressed we are everywhere. \r\n\r\nA far better world for all women, with women running everything. "
10335,
10336,Abolition/reduction of patriarchal structures in politics and society also in emerging countries and the Third World
10337,
10338,
10339,"Equal pay, equal opportunity for education and promotion at work. Shared home and family duties with males. "
10340,
10341,
10342,"Mandatory Equal pay, free fertility/period products, mandatory 50/50 female male management in all companies. "
10343,
10344,"Equality, Education "
10345,bad
10346,I don'`t believe in very much progress 
10347,That all people are treated equally
10348,Fundamentally critical questioning of male-dominated behaviors from kindergarten age.  The education system must provide the right framework conditions here and thus politics must act faster and not put so many bureaucratic obstacles in the way. System Change! 
10349,Everyone can do a suitable education for them and work in this professional field with children.
10350,"Actually, it is a pity that it is still being discussed today.\r\nWedry would be absolute equality, but I suspect that it will unfortunately take even more time."
10351,"Guarantee of a secure income (e.B. guaranteed minimum income), in general and especially after a divorce/termination of a partnership"
10352,equal access to education; Complete self-determination
10353,
10354,
10355,Slight improvement
10356,"Women have the freedom to choose how they want to shape their lives, have access to education worldwide, become more financially independent and receive the same wage for work as men. "
10357,
10358,Unfortunately moderate
10359,
10360,
10361,Ending violence against women & girls and equal pay for women.
10362,"More women in management positions\r\nmehr men in care work. \r\nBesser working conditions, wages in women'`s occupations, parental leave, "
10363,"Sexual and physical self-determination (including self-determined reproduction). Equal access to education and resources, equal opportunities on the labour market, pay for CARE work, "
10364,Lohngleichheit\r\nBessere Sexualstrafrechte 
10365,
10366,
10367,
10368,
10369,
10370,"gender question no longer needs to be answered; in the passport it says ""human"""
10371,K.A
10372,
10373,"Equal pay, expanded childcare, proportion of men and women in all political bodies – as well as in management positions in the economy"
10374,Equal wages for equal work. Equal opportunities on the labour market. That sexism is no longer socially acceptable. Overcoming thinking in gender roles.
10375,
10376,I see extremely slow progress
10377,"It looks brink, unless the political leadership works on the shortfalls"
10378,
10379,Crap
10380,"All people are equal, self-determined, have access to education, work, are free in their sexual orientation!"
10381,Better than today 
10382,"More education in the field of sexuality and psychology, strengthened by a general social change, leads to the fair treatment of both sexes. A distinction should be made between equality and justice. Because equality does not automatically lead to fair treatment. "
10383,"Not living in fear, not being stereotyped or perceived in a certain way on the basis of (assumed) gender"
10384,"Equality of all people in all areas of life (wage payments, equal rights in coexistence)"
10385,"Without discussion, discrimination of any kind, human rights must apply to all inhabitants of the earth!"
10386,"Being completely inclusive of trans women and trans femmes, being intersectional across race/class/disability and any further marginalisation. Increasing women’s presence in more powerful roles throughout business, economics, art, science, and so on. Teaching men how to be actual allies and stop making women feel unsafe and threatened. Better education all round regarding women’s equity and the history as well as current state of gender-based violence and human rights."
10387,
10388,
10389,Almost no progress
10390,
10391,
10392,
10393,
10394,I hope we no longer need to prove who we are and our worth to the men of this world. 
10395,"Fair pay, equal number of women in leadership positions "
10396,
10397,
10398,
10399,
10400,>Ensality in career choices\r\n>Dissolving (especially in people'`s minds) of clichéd role models\r\n>Pay equality\r\n>Respect equality\r\n>Specially also in the Global South: Sharing of responsibility in family planning and prevention
10401,
10402,
10403,"Safe streets, know my daughter will not be target of physical and emotional abused "
10404,
10405,When we don’t need “metoo” and “equal pay” movements anymore because they are seemed as norms
10406,Increase in Women'`s political and workforce representation
10407,It'`s on a positive direction. Urban women need to learn how to exercise their rights but not exploit them so that major section of the women don'`t have to face any issue. 
10408,"It has changed a bit but not that much, the change has taken place in regions, In urban the change is more as compared to rural areas. In rural areas still child marriage is taking place, women just have the Role of roti maker and children producers. So the change is slow"
10409,"Women to be taken seriously. Less violence, safer communities and less circular conversations about the same issues"
10410,
10411,Global pay equity. Dismantling cultural traditions that do not support equity for women and women identifying people.
10412,"Equal pay, no more sexual violence, no more gender and racial discrimination, fair distribution of wage and family work"
10413,"In DR it would mean legalizing abortion, widespread family planning / reproductive education, reducing teen pregnancies due to rape and incest"
10414,Equal pay for equal pay; equal opportunities; more women in leadership
10415,
10416,"I think that a process is ongoing and in 10 years everything will be better, but not completed"
10417,
10418,sdfsdf
10419,
10420,Better maternity rights; better work situation for mothers; adequate child care costs that allows women to work not be forced to be a SAHM because their families can not afford them working economically  
10421,
10422,
10423,
10424,
10425,Better
10426,"Far more women holding political office so our priorities and voices are heard, pay parity, rebound from women’s pandemic unemployment "
10427,That we as women have the opportunity to choose what ever we want to be/do. That the outcome of our future  would depend on our effort and not on the circumstances that we were born
10428,"Man and woman get same pay, same work right, both sex can do every different job. "
10429,
10430,
10431,"Freedom to choose for our bodies, to balance work and private life, to not have children without facing a social stigma to not be represented in the media in a submissive way"
10432,Absolute wage and equal opportunities 
10433,
10434,
10435,No idea
10436,No idea
10437,
10438,"Women are heard - when they speak their minds, and when they say no.\r\nThen they dare to say yes."
10439,
10440,
10441,
10442,"Universal access to education and contraception, as well as more support for working mothers "
10443,True equality be it in the work place or at home
10444,
10445,Women supporting other and educating other women about feminism at workplace. Equal wages for same work. More no. of girls taking masters 
10446,
10447,Women are equally represented in every job. 
10448,
10449,
10450,
10451,
10452,"Earning same salary, having more managerial positions opportunities at work"
10453,"That women will be well rewarded even in poorly rewarded work in the future e.g. nursing professions, care work will be recognized and financial security for the employees will be ensured. "
10454,
10455,
10456,
10457,FINALLY REALLY equal pay; Respect and respect that what women say is heard
10458,"Equality in terms of wages, clear measures against violence and discrimination against women. Representation to 50% in committees and in the boardroom, as well as in politics.\r\nParents'` Council.\r\nSanctions and discussions for women'`s rights in other countries.\r\n"
10459,Freedom
10460,"Women leadership in more countries, women not only having a seat at the table but having a meaningful voice/role, women are able to walk home at any hour in any outfit without having to fear for their safety. "
10461,
10462,
10463,
10464,
10465,
10466,
10467,"Closing the wage gap, ending all forms of violence against women, making all sanitary items free and mandating paid sick days for those who menstruate, having mandatory paid maternal and paternal leave, having proper sex education in schools that covers relevant issues today, abolishing compulsory heterosexuality in our culture and the gender binary"
10468,
10469,"Equal pay and opportunities for women in the workforce, equal access to health care, more rights for women in healthcare, more education and access to birth control and more choice for women surrounding what they want to do with their bodies. "
10470,We are treated equal and our bodies are not own by anyone but ourselves. We have the right to any choice we want to make withoit scruteny
10471,
10472,
10473,
10474,
10475,"No income gap, no sexual harassment, micro aggressions are no longer a thing, intersectionality within the women’s movement (trans women, poc women, disabled women) "
10476,
10477,"Total equality. Financially, occupational, educational, sexual, etcetera, where the gender you are or present yourself as is totally irrelevant to anything you do in the world. It will not be differentiated between scientist and female scientist. It will just be scientist. "
10478,
10479,More countries having greater access to reproductive freedom and women'`s health knowledge. Further acknowledgment of and/or action against employment barriers against women. 
10480,
10481,Complete equality accepted by all social and cultural groups in all aspects not only in canada and first world countries but also   In third world and everywhere. \r\n\r\n
10482,
10483,Empowerment
10484,"Continued education and self defence training for all women, as well as increased awareness of women’s issues to the male population. I would like to be able to walk down the street at night and not have to look over my shoulder. "
10485,"More women elected to senior political, legal positions and promoted/hired into Executive leadership positions within organizations "
