iso3166,gender,race,age,language,progress_10_years_tr
SA,woman,black_or_of_african_descent,25 to 34,en,Freedom over everything
BW,woman,choose_not_to_identify,25 to 34,,
KE,woman,choose_not_to_identify,55 to 64,,
UG,woman,black_or_of_african_descent,25 to 34,en,In ten years women will be having an upper hand in decision making
KE,woman,black_or_of_african_descent,35 to 44,en,Fair
UG,woman,black_or_of_african_descent,35 to 44,fr,Respect for human rights in all Third World countries. \r\n\r\nFree woman
BW,woman,black_or_of_african_descent,35 to 44,en,The process is improving gradually as most women now can stand up for their rights. They are mow being heard. Laws have been amended to take those who abuse women to task. Society has now welcomed women to hold executive positions in the corporate sector. Women can now hold positions in politics. Women have been accepted to join military as it was never done before in my country. More women are now free to do jobs that were only done by men. They are now regarded as equals. 
KE,woman,black_or_of_african_descent,35 to 44,,
KE,woman,black_or_of_african_descent,35 to 44,en,Standard
UG,woman,biracial_or_mixed,25 to 34,en,Women will have there rights and we will be able to use them accordingly 
KE,man,choose_not_to_identify,25 to 34,en,They rights will be equal t r that of men
KE,woman,black_or_of_african_descent,25 to 34,en,"End of domestic violence ,peaceful homes"
BW,woman,black_or_of_african_descent,25 to 34,en,"More opportunities for women at the work place, there are still some jobs that are not women friendly or simply do not hire women. \r\nMore flexibility for maternity leaves "
KE,woman,racial_identity_not_listed,35 to 44,en,Its gonna be far 
UG,woman,racial_identity_not_listed,18 to 24,en,"Peace and unity plus equality regardless of skin, color, size and age. A world full of hope to dream again and achieve that which you desire and not what society desires for you."
UG,woman,black_or_of_african_descent,18 to 24,en,Women will have full rights as men
KE,cisgender_woman+woman,black_or_of_african_descent,25 to 34,en,"Women receive equal pay for the work they do.\r\nWomen are properly represented in political and corporate spaces.\r\nSexual offenders face real, punitive punishment for offences including sexual harassment in the office and school.\r\nAll girls have access to sexual and  reproductive health education and health services\r\nTax free sanitary products"
UG,woman,black_or_of_african_descent,25 to 34,en,Great improvement
BW,woman,black_or_of_african_descent,18 to 24,,
UG,woman,black_or_of_african_descent+indigenous,45 to 54,en,Is getting worse
UG,woman,choose_not_to_identify,25 to 34,en,Women will have a platform to express their views
KE,woman,black_or_of_african_descent+indigenous,25 to 34,en,More women will be more empowered
KE,woman,black_or_of_african_descent,18 to 24,en,May be in 10yrs women rights will also be considered but for now am sure we are far away from expectations. we are less considered.
NZ,gender_choose_not_to_identify,white,55 to 64,,
KE,cisgender_man+cisgender_woman+non_conforming_or_non_binary+man+transgender_man+transgender_woman+woman,asian+biracial_or_mixed+black_or_of_african_descent+hispanic_or_latinx+indigenous+indigenous_central_or_south_american+middle_eastern+native_american+native_hawaiian+north_african+pacific_islander+south_asian+southeast_asian+white,35 to 44,,
UG,woman,black_or_of_african_descent,25 to 34,en,Fairly given platform... i think we are picking up... There are certain things women used not to do but now we are allowed to do them... talk about politics
UG,woman,black_or_of_african_descent,18 to 24,en,I believe more women will be in position to take charge on issues that concern them.
UG,woman,racial_identity_not_listed,18 to 24,en,Woman empowerment 
KE,woman,black_or_of_african_descent,25 to 34,en,Brighter
BW,woman,black_or_of_african_descent,35 to 44,en,i believe women will have same previledges and leadership chances as their counterparts
KE,cisgender_woman+woman,choose_not_to_identify,35 to 44,,
UG,gender_choose_not_to_identify,choose_not_to_identify,35 to 44,en,"In ten years to come, women will be able to manage their families "
UG,woman,black_or_of_african_descent,25 to 34,en,Its slow in country because we still have cases where women are deprived of some of there rights by their husband'`s\r\n
UG,woman,north_african,18 to 24,,
BW,woman,black_or_of_african_descent,25 to 34,en,Cooking 
BW,woman,black_or_of_african_descent,45 to 54,en,Better
KE,woman,indigenous,25 to 34,en,"Women can live their lives without fear of violence, harassment, inequity and anxiety regardless of their appearance or location 24/7"
BW,woman,black_or_of_african_descent,35 to 44,en,2
KE,man+transgender_man+transgender_woman+woman,choose_not_to_identify,25 to 34,en,It will be good because awareness has already been put forth
KE,man,choose_not_to_identify,35 to 44,en,Pastor
NZ,woman,racial_identity_not_listed+indigenous,35 to 44,,
KE,gender_choose_not_to_identify,choose_not_to_identify,18 to 24,en,Better
KE,woman,black_or_of_african_descent,35 to 44,en,Achievable
NZ,woman,asian+black_or_of_african_descent,35 to 44,,
KE,gender_choose_not_to_identify,black_or_of_african_descent,18 to 24,en,Will be much better 
KE,woman,black_or_of_african_descent,25 to 34,en,Rights allow for equity and  a 50-50 representation of women in all frontiers or even more
KE,man+transgender_man+transgender_woman+woman,black_or_of_african_descent,25 to 34,en,An empowered woman who is independent 
KE,woman,black_or_of_african_descent,25 to 34,,
KE,woman,black_or_of_african_descent,35 to 44,en,Unclear
KE,woman,racial_identity_not_listed,25 to 34,en,Very poor
NZ,woman,racial_identity_not_listed,55 to 64,,
KE,woman,black_or_of_african_descent,25 to 34,en,Very infective
UG,woman,black_or_of_african_descent,25 to 34,,
BW,woman,black_or_of_african_descent,35 to 44,en,Women to live without fear of being sexually abused 
KE,woman,black_or_of_african_descent,55 to 64,en,Great
KE,woman,black_or_of_african_descent,35 to 44,en,Good
KE,woman,racial_identity_not_listed,35 to 44,,
KE,woman,black_or_of_african_descent,45 to 54,en,There'`s change but need slight improvement
KE,woman,black_or_of_african_descent,25 to 34,,
BW,woman,black_or_of_african_descent,55 to 64,,
KE,woman,black_or_of_african_descent,25 to 34,en,Fair
KE,woman,black_or_of_african_descent,18 to 24,en,Tremendous
UG,woman,black_or_of_african_descent,25 to 34,en,In my region we haven'`t moved much.  However more women are coming up to advocate for fellow women. Women still feel very inferior to men and are so dependent on the man
UG,gender_choose_not_to_identify,choose_not_to_identify,35 to 44,en,Its promising
KE,woman,choose_not_to_identify,25 to 34,en,Stagnating.There still no inclusivity of all genders.
KE,woman,black_or_of_african_descent,25 to 34,en,Great
KE,woman,racial_identity_not_listed,35 to 44,en,Badl
KE,woman,racial_identity_not_listed,18 to 24,en,We'`ll be in a better place.
KE,woman,racial_identity_not_listed,25 to 34,,
NZ,woman,racial_identity_not_listed+biracial_or_mixed+indigenous,18 to 24,en,"Free sanitary products to all, no more praying outside of hospitals to end abortion"
KE,woman,racial_identity_not_listed,35 to 44,,
UG,woman,black_or_of_african_descent,25 to 34,en,"Women should be able to have equal opportunities as men. Our skills, knowledge and ability to do work should stand for us. "
KE,woman,black_or_of_african_descent,25 to 34,,
KE,gender_choose_not_to_identify,choose_not_to_identify,25 to 34,en,Discriminatory social norms and gender stereotypes continue to be entertained in both formal and informal institutions thereby hindering progress towards gender equality.
KE,woman,black_or_of_african_descent,25 to 34,en,"Equity,women empowerment through agriculture and Business will make better place for women and also Education"
KE,woman,choose_not_to_identify,18 to 24,en,To be more independent and recognised in the society 
UG,woman,black_or_of_african_descent,25 to 34,en,I see women taking lead in ensuring they have equal rights 
UG,gender_choose_not_to_identify,choose_not_to_identify,18 to 24,en,"In 10 years from now I look at the progress for women human rights as one where women have freedom to make their own choices. In my area of residence, most women are used as reproductive machines. Men abandon their wives with children."
KE,woman,racial_identity_not_listed,25 to 34,en,Where women are free to make decisions regarding their lives without judgement from the society
KE,gender_choose_not_to_identify,choose_not_to_identify,25 to 34,,
NZ,woman,biracial_or_mixed+pacific_islander+white,55 to 64,en,"equal leadership globally, respected women who are innovative and forward thinking with fearless resolve."
KE,cisgender_woman+woman,black_or_of_african_descent,25 to 34,en,"Freedom from stigmatization of any degree,,freedom for expression and living  that will be progress."
KE,woman,black_or_of_african_descent,25 to 34,en,"No gender based violence, end of fgm and child marriages, Equal pay, right for abortion."
KE,woman,choose_not_to_identify,25 to 34,en,It will be at advance stage
BW,woman,black_or_of_african_descent,25 to 34,en,Women empowerment 
UG,woman,black_or_of_african_descent,35 to 44,en,It seems to be progressing really well.
KE,woman,choose_not_to_identify,35 to 44,en,With more effort and commitment we can empower every youth.
KE,woman,black_or_of_african_descent,25 to 34,en,The ability of women to be a independent financially and emotionally. To have enough set of skills and the confidence to make the best decisions possible without external interface. 
KE,woman,black_or_of_african_descent,45 to 54,en,Somehow being recognized
BW,woman,black_or_of_african_descent,18 to 24,en,Provided the we keep at the pace we are seeing women empowerment being encouraged and practiced and also if other women in better positions continue lending a helping hand to those still climbing the ladder we should see a significant change and actually have a world where all women are looked at not because of their smooth skin or their curvy bodies but be looked at because they'`re making waves in the industry. 
UG,woman,black_or_of_african_descent,25 to 34,en,Every women to be financially independent and be able to make choices for her self
UG,woman,black_or_of_african_descent,25 to 34,en,I see women involved more in politics and high work roles.
KE,woman,black_or_of_african_descent,18 to 24,en,Equity 
UG,woman,black_or_of_african_descent,55 to 64,en,It will be far ahead than now
KE,woman,black_or_of_african_descent,25 to 34,,
KE,man+transgender_man+transgender_woman+woman,biracial_or_mixed+black_or_of_african_descent,35 to 44,en,"We have this norm, what a man can do,a woman can do better. We have seen women leadership even better politically and even in churches. We have seen women doing jobs which were strictly men'`s, like piloting and others"
BW,woman,black_or_of_african_descent,35 to 44,,
BW,woman,black_or_of_african_descent,18 to 24,,
UG,woman,choose_not_to_identify,25 to 34,en,"Where women are empowered in all aspects,respected and independent\r\nWhere their opinions count and are able to contribute to societal development without any hinderence, where all women access education, information,improved health,capital and finances\r\nWhere cultural norms will not define how women are treated"
KE,woman,black_or_of_african_descent,25 to 34,en,"It looks Very promising..,I Believe we will be Miles away from where we are today so long as we keep up with the pace,cheer her voice and always be with her"
KE,woman,black_or_of_african_descent,25 to 34,en,Hardworking women
KE,woman,black_or_of_african_descent,35 to 44,,
KE,woman,black_or_of_african_descent,55 to 64,en,Promising and very advancing in the right direction\r\n
KE,woman,black_or_of_african_descent,25 to 34,en,There will be equal power for the both gender.
UG,woman,black_or_of_african_descent,35 to 44,en,There is already alot of progress of women'`s human rights now and I bet in 10years to come it will be even much better.
KE,woman,black_or_of_african_descent,25 to 34,en,I'`d love to see women empowered to a point where if she should walk out of an abusive bad marriage n be able to take care of herself n her kids without necessarily having to go back to her father'`s home 
NZ,woman,indigenous,55 to 64,en,No trans MTF in women'`s spaces.\r\nWomen competing against natal women in sports. \r\nWomen being given their rightful positions instead of this inclusive rubbish thst men can be women. Sex is immutable. For women to retain their sex based rights. 
NZ,woman,hispanic_or_latinx,35 to 44,,
KE,woman,black_or_of_african_descent,55 to 64,en,The progress will be felt in 10 years because advocacy and empowerment on human rights is taking root and women and men are getting enlightened
KE,woman,black_or_of_african_descent,18 to 24,,
UG,woman,black_or_of_african_descent,18 to 24,en,It would be good 
KE,woman,black_or_of_african_descent,35 to 44,en,It is taking a step and in the next 10 years many women will learn about their rights and being independent
UG,woman,black_or_of_african_descent,25 to 34,en,Most Women can afford to defend their rights to land/property.
KE,woman,black_or_of_african_descent,18 to 24,en,Women being able have any career of their choosing without having to sleep their way to men’s positions in careers
KE,woman,black_or_of_african_descent,35 to 44,en,Underlooked
UG,woman,black_or_of_african_descent,25 to 34,en,"If there'`s no intervation, then the progress will be really slow"
KE,woman,black_or_of_african_descent,25 to 34,en,. A world where no life is lost during child birth ... women have access to good quality medical care . No woman gets fistula during child birth . A world where woman have opportunities  to attend schools and get the jobs they desire and Qualify
KE,woman,black_or_of_african_descent,45 to 54,en,To have majority woman in leadership positions 
UG,gender_choose_not_to_identify,black_or_of_african_descent,18 to 24,,
KE,woman,black_or_of_african_descent,35 to 44,en,Average
NZ,gender_choose_not_to_identify,choose_not_to_identify,65 to 74,en,"Maintaining and strengthening the sex based rights, protections and services for women and girls.  Legal recognition that there are only 2 sexes, as shown by biology & science.  Widespread recognition that females have been historically oppressed because of our biology, and that social constructions of gender have been the means of maintaining oppression of females. Widespread acceptance of diversity of ways of presenting among each sex, and legislation to protect people who do not conform to gender stereotypes and norms from discrimination in work, income, housing, health, etc.  Ensuring that the sports for women and girls are for the female sex (as identified and recorded at birth.  More research into and health provisions for females, as medical and health research still tends to focus on male biology as the norm. An end to female poverty and income inequalities. Better understanding the oppression of indigenous and Black women, and provisions for them to participate fully in society.  I don'`t self identify as being of a race. I am white/Pakeha/European. Racial/ethnographic groups are a material reality, not something a person can identify in or out of, as with sex.  Sex is set at conception and lasts for life."
KE,woman,black_or_of_african_descent,35 to 44,en,Freedom  of expression without discrimination of gender and woman  empowerment 
UG,woman,black_or_of_african_descent,18 to 24,en,It is a source of people'`s rights especially for women.
KE,woman,black_or_of_african_descent,25 to 34,en,Good progress
KE,woman,black_or_of_african_descent,35 to 44,en,"A right to chose, to be heard and be safe and a place on the negotiating table of major decisions."
UG,woman,black_or_of_african_descent,25 to 34,en,It'`s will be worse
BW,woman,white,65 to 74,en,Reduction in teenage pregnancy
BW,woman,black_or_of_african_descent,25 to 34,,
KE,woman,indigenous,18 to 24,en,Women are allowed to vote and vie for seats
KE,woman,black_or_of_african_descent,35 to 44,en,It'`s fear 
UG,woman,black_or_of_african_descent,25 to 34,en,Great 
UG,woman,black_or_of_african_descent,18 to 24,en,It is a 100% achievable goal if we came together and stood as one to figure for women'`s human rights by empowering every single woman from the top to the grass root
KE,woman,black_or_of_african_descent,18 to 24,en,The fact that great opportunities are extended to women without question of ability.
BW,woman,black_or_of_african_descent,45 to 54,en,"I think that  in 10 years  to come, the voice  of women  will  be heard, and well educated  and well  equipped,  and  will be able to stand for themselves  "
KE,transgender_woman,black_or_of_african_descent,25 to 34,en,It will be at a better level.
BW,man,white,25 to 34,en,Love
KE,woman,black_or_of_african_descent,25 to 34,en,Good
KE,woman,black_or_of_african_descent,35 to 44,,
KE,woman,black_or_of_african_descent,18 to 24,en,Equal opportunities to engage in different platforms freely
KE,woman,black_or_of_african_descent,35 to 44,en,Needs alot to be done
UG,woman,black_or_of_african_descent,35 to 44,,
UG,woman,black_or_of_african_descent,25 to 34,en,"Women with true equal life choices, not being secretly silenced by anyone "
KE,woman,black_or_of_african_descent,35 to 44,en,Nice
KE,woman,black_or_of_african_descent,25 to 34,,
KE,woman,black_or_of_african_descent,45 to 54,,
KE,woman,racial_identity_not_listed,25 to 34,en,Most women will be  educated and empowered
LS,woman,black_or_of_african_descent,25 to 34,en,Looks quite wonderful 
BW,woman,choose_not_to_identify,25 to 34,,
KE,woman,indigenous,35 to 44,en,"Very slow in our area,,rating it 2%"
BW,woman,north_african,25 to 34,en,"We hope for a better nation ,with no gender issues and sexual harrasment,free nation with respect of a women"
KE,woman,black_or_of_african_descent,35 to 44,,
UG,woman,black_or_of_african_descent,25 to 34,en,"Equal opportunities and access to leadership positions at the top in private, government parastatols, national, multinational, international or global companies "
UG,woman,black_or_of_african_descent,18 to 24,en,"The women in ten years would have changed , they would have archived to a larger extend their goals of women rights"
NZ,woman,racial_identity_not_listed,55 to 64,en,Equality in pay
KE,gender_choose_not_to_identify,black_or_of_african_descent,25 to 34,en,Average
NZ,woman,white,55 to 64,en,We live in a world that belongs to everyone not just a man’s world
KE,man,black_or_of_african_descent,55 to 64,en,Bright
UG,gender_choose_not_to_identify,choose_not_to_identify,25 to 34,en,all women educated and involved in every work and end of violence
KE,woman,black_or_of_african_descent,18 to 24,en,"Women are seen as these week creatures not even been given an opportunity to rule in an organisation. Very few women are in the high ranked position because it'`s believed they can'`t perform, which is so wrong."
UG,woman,black_or_of_african_descent,35 to 44,en,Women being respected educated and economically empowered
KE,woman,choose_not_to_identify,35 to 44,en,"To see more financially, emotionally empowered women through education and rights knowledge"
UG,woman,black_or_of_african_descent,25 to 34,en,Women having the enabling environment and taking leading roles in policy
KE,woman,black_or_of_african_descent,18 to 24,en,Reproductive health and mental health 
UG,woman,black_or_of_african_descent,18 to 24,en,It'`s like it has set a foot to where it should be which is not bad
UG,woman,black_or_of_african_descent,25 to 34,en,"Wel progress for women'`s human rights, in Africa its been another different version, where women were meant to stay in kitchens, can you believe that even while they cooked they never ate certain foods that they were meant for men, after some good years alot has changed women can work, their voices are now being hard which has brought hope to the women today. "
UG,woman,black_or_of_african_descent,25 to 34,en,I see progress  if us women we become more determined 
BW,woman,black_or_of_african_descent,35 to 44,en,Better
UG,woman,black_or_of_african_descent,25 to 34,en,"It will change as the world'`s changes,the future is more developed by women because they are determined and hard working"
UG,woman,black_or_of_african_descent,18 to 24,en,It will be misunderstood by many.
UG,woman,north_african,25 to 34,en,a place were women are respected 
BW,woman,black_or_of_african_descent,35 to 44,en,It would be better
BW,woman,black_or_of_african_descent,25 to 34,en,Improved
UG,woman,black_or_of_african_descent,25 to 34,,
NZ,woman,white,55 to 64,en,"Total equality, no gender pay gap. "
BW,gender_not_listed+woman,black_or_of_african_descent,18 to 24,en,Being able to be have a stand which is recognized throughout with no doubt.
BW,woman,black_or_of_african_descent,18 to 24,en,No violence for women and a girl child 
UG,woman,black_or_of_african_descent,35 to 44,en,A free and equal society
BW,woman,black_or_of_african_descent,35 to 44,en,Slowly it'`s getting better 
UG,woman,black_or_of_african_descent,25 to 34,en,A world free from all kinds of violence and where every one has an opportunity to realise their potential
BW,woman,black_or_of_african_descent,25 to 34,en,Looking bright
UG,woman,black_or_of_african_descent,25 to 34,,
UG,woman,black_or_of_african_descent,18 to 24,,
UG,woman,black_or_of_african_descent,18 to 24,,
UG,woman,black_or_of_african_descent,25 to 34,,
UG,gender_not_listed+man+woman,asian+biracial_or_mixed+black_or_of_african_descent+indigenous+indigenous_central_or_south_american+middle_eastern+native_hawaiian+north_african+white,45 to 54,en,very good
UG,woman,black_or_of_african_descent,25 to 34,en,It looks like many women will be educated and knowledgable on how to be free in life and independent.
UG,woman,black_or_of_african_descent,25 to 34,,
KE,woman,black_or_of_african_descent,25 to 34,en,Eldoret 
UG,woman,black_or_of_african_descent,25 to 34,en,When i see moving making decisions and not feeling ashamed or pressured to have made those decisions 
UG,woman,black_or_of_african_descent,18 to 24,en,A steady progress
UG,woman,black_or_of_african_descent,25 to 34,en,"Women to have a right to do whatever they want, and to be thought about their rights."
UG,woman,black_or_of_african_descent,25 to 34,en,In 10 years there should be equity between men and women with no gender underestimating the other.
UG,woman,choose_not_to_identify,18 to 24,,
BW,woman,choose_not_to_identify,25 to 34,,
UG,woman,black_or_of_african_descent,25 to 34,en,There was a lot of progress and many women had started mentoring many and breaking the glass ceiling untill COVID 19 came in. 
UG,woman,black_or_of_african_descent,25 to 34,,
BW,woman,north_african,18 to 24,en,Improved
BW,woman,black_or_of_african_descent,25 to 34,en,Women not inferior yo men and rather shared rights and responsibilities.
UG,woman,black_or_of_african_descent,25 to 34,,
UG,woman,racial_identity_not_listed,25 to 34,en,An abuse-free world for both women and children. A world full of women with high self-esteem and confidence to fight for what is right in the world.
UG,gender_choose_not_to_identify,choose_not_to_identify,18 to 24,en,A right to be with my daughter 
BW,woman,black_or_of_african_descent,35 to 44,en,Woman should have their voice heard and opinions taken into consideration 
BW,woman,black_or_of_african_descent,25 to 34,en,Being able to do any job and not worry about having a work life balance especially if married and with kids
UG,woman,black_or_of_african_descent,25 to 34,en,Leaders
UG,woman,black_or_of_african_descent,18 to 24,en,Gender equality nothing much
BW,woman,black_or_of_african_descent,45 to 54,en,Better 
BW,woman,north_african,18 to 24,,
UG,woman,black_or_of_african_descent,25 to 34,en,No change .. here I see I alot of women  struggling  to provide for for there families both children  and men .. in 10 years if it'`s not d help of God  doing a miracle  providing small sacco where they can borrow money for start up capital .. then dere is no progress
UG,woman,north_african,25 to 34,en,Fair
UG,woman,black_or_of_african_descent,18 to 24,,
KE,woman,black_or_of_african_descent,18 to 24,en,"Elimination of the existing pay gap between men and women within industries, childcare rights, increased understanding of the female anatomy, especially the female orgasm"
UG,woman,black_or_of_african_descent,25 to 34,,
UG,woman,black_or_of_african_descent,25 to 34,en,Emancipation proclamation has to lead way. We see ourselves in leadership and management in organisations We have to end violence against
UG,man+woman,choose_not_to_identify,18 to 24,en,There will be a gradual change amidst woman knowing their full rights 
UG,woman,black_or_of_african_descent,18 to 24,en,Women'`s human rights will be empowered based on the rate women empowerment is growing ... it feels good to see a woman able to stand for herself??
UG,woman,black_or_of_african_descent,25 to 34,en,"If women could be able to come up with communal groups designed only to fight and protect them from violating their rights, if these groups are flexible enough to reach every single woman out there, then in ten years women will be on top of there dreams and careers rest assured that they are protected"
BW,woman,black_or_of_african_descent,18 to 24,en,We are trying but not hard enough 
UG,woman,black_or_of_african_descent,25 to 34,,
UG,woman,black_or_of_african_descent,35 to 44,en,All women having an Education and access to jobs of their interest 
KE,woman,black_or_of_african_descent,25 to 34,en,1.Equal job opportunities for both men and women\r\n2. At least a 6 months maternity leave\r\n3. Zero gender based violence\r\n4. Zero cases of female genital mutilation\r\n5. Free sanitary pads for all women\r\n6. An end to misogyny 
UG,transgender_woman,black_or_of_african_descent,18 to 24,en,It have some improvement
UG,woman,black_or_of_african_descent,25 to 34,en,There will be gender equality among all. 
UG,woman,black_or_of_african_descent,18 to 24,en,"If steps are taken well to improve human rights,by ten years to come , the world will be a change one for women"
UG,woman,choose_not_to_identify,25 to 34,en,Still the same women are not given enough opportunities they still have to fight to be are they are.. !
UG,woman,black_or_of_african_descent,18 to 24,en,Women will be empowered
UG,woman,black_or_of_african_descent,35 to 44,en,"Equal rights and equal pay at the work place, ending violence and sexual harassment against the girl child and women,clean water,electricity and education free for all"
UG,woman,black_or_of_african_descent,25 to 34,en,We have achieved less 
UG,woman,black_or_of_african_descent,18 to 24,,
UG,woman,black_or_of_african_descent,65 to 74,,
MX,non_conforming_or_non_binary+woman,hispanic_or_latinx,35 to 44,en,"I see a relentless struggle on the part of women, that is very encouraging, but in 10 years, unfortunately I don'`t think things will change much, I hope so of course and I fight for it, but in my country the outlook is still discouraging."
UG,woman,black_or_of_african_descent,18 to 24,en,We shall be prominent business ladies and financially independent both in disabled and not disabled women
BW,woman,black_or_of_african_descent,25 to 34,en,I feel like women are gradually standing out and seeking help and for this though it seems slowly their rights will be respected than be labeled by the society. There are also moves for grooming a boy child on understanding what a woman is and how to treat her. Therefore I see the light at the end of the tunnel.. 
UG,woman,black_or_of_african_descent,25 to 34,en,There will greater change if we come together as one
UG,woman,black_or_of_african_descent,25 to 34,en,When men learn to respect women. Everyone is important and equal.
BW,woman,black_or_of_african_descent,35 to 44,en,Winning
UG,cisgender_man+cisgender_woman+transgender_man+transgender_woman+woman,black_or_of_african_descent,25 to 34,en,Excellent 
UG,woman,black_or_of_african_descent,18 to 24,en,Women empowerment has taken  agreat improvement 
UG,woman,black_or_of_african_descent,35 to 44,en,All women should be self relient
UG,woman,choose_not_to_identify,25 to 34,,
UG,woman,choose_not_to_identify,25 to 34,en,Having a voice also in public
UG,woman,black_or_of_african_descent,18 to 24,en,"In 10 years, if women stand firm and defend their rights, discrimination will definatly  end."
ZA,woman,black_or_of_african_descent,45 to 54,en,Woman 
UG,woman,black_or_of_african_descent,25 to 34,en,Not enough
UG,woman,indigenous,55 to 64,en,Very unpredictable 
UG,man+woman,asian+white,35 to 44,en,There hope in the coming years if more centralized women programs are put in place. 
UG,woman,black_or_of_african_descent,45 to 54,en,Ignored
UG,woman,black_or_of_african_descent,18 to 24,,
UG,woman,black_or_of_african_descent,25 to 34,,
UG,woman,black_or_of_african_descent,35 to 44,en,Women will be having a say in soceity
UG,woman,black_or_of_african_descent,45 to 54,en,"Good progress interms of awareness however,a lot is still desired when it comes to practice,claiming rights especially in rural communities"
BW,woman,racial_identity_not_listed,35 to 44,en,positive
BW,woman,black_or_of_african_descent,18 to 24,en,It will be a success\r\n
UG,woman,indigenous,18 to 24,en,A woman having a right to go back to her father'`s home after failed marriage and living comfortably with her kids there until she decides otherwise\r\n
UG,woman,black_or_of_african_descent,18 to 24,en,Like heaven is lower down 
UG,woman,black_or_of_african_descent,35 to 44,en,This is when women can put themselves first and leave a relationship after the 1st time of any violence or beating without doubting  their capabilities 
UG,woman,black_or_of_african_descent,18 to 24,en,Equitable rights across all platforms regardless of background and many other differences as a female human being
UG,woman,black_or_of_african_descent,25 to 34,,
BW,woman,black_or_of_african_descent,25 to 34,en,Woman '`s rights will be knwn all around the world.. and well exercised
UG,woman,black_or_of_african_descent,25 to 34,,
UG,woman,black_or_of_african_descent,18 to 24,en,Am sure if women are given equality they will be able to stand in for the lives of thier children whether they are abandoned or widowed
IT,woman,choose_not_to_identify,45 to 54,it,Hope better
UG,woman,black_or_of_african_descent,25 to 34,en,Women walking around without being subjected to sexual harassment and thy are to enjoy all their freedoms. As women.
UG,woman,indigenous,18 to 24,en,Most women by 10 years will have understood and able to defend their rights
UG,woman,black_or_of_african_descent,35 to 44,en,Women'`s human rights in 10 years will be highly recommend and exercised
UG,transgender_woman+woman,biracial_or_mixed,25 to 34,,
UG,cisgender_woman+transgender_woman+woman,black_or_of_african_descent,18 to 24,en,There is change anyway to those who have the idea
IT,woman,white,45 to 54,it,Positive. Women know they have to do . They will be constructive in every sense .\r\n
UG,woman,black_or_of_african_descent,25 to 34,,
KE,gender_choose_not_to_identify,black_or_of_african_descent,25 to 34,en,I hope in ten years to see more women leaders
UG,gender_choose_not_to_identify,black_or_of_african_descent,25 to 34,,
UG,woman,black_or_of_african_descent,25 to 34,en,No progress if not worked upon
UG,woman,black_or_of_african_descent,25 to 34,en,"I am optimistic that in the next 10years,. Women'`s voices will more strong n loud to defend their rights and defend their fellow women and girls and end domestic violence and others related cases that affect women globally."
UG,man+transgender_man+transgender_woman+woman,asian+biracial_or_mixed+black_or_of_african_descent+indigenous_central_or_south_american+middle_eastern+native_american+native_hawaiian+north_african+pacific_islander+south_asian+southeast_asian,25 to 34,en,Unity and peace in the world atlarge
UG,man+woman,asian+biracial_or_mixed+black_or_of_african_descent+hispanic_or_latinx+indigenous+indigenous_central_or_south_american+middle_eastern+native_american+native_hawaiian+north_african+pacific_islander+south_asian+southeast_asian+white,35 to 44,en,There is hope... civil societies the world over are respecting these rights through putting legal measures that not only advocate but ensure that their rights are upheld.
IT,woman,middle_eastern,55 to 64,it,I have a lot of confidence in the new generations who seem to me to be very attentive to civil rights.
UG,woman,black_or_of_african_descent,18 to 24,en,"A society where women are loved, appreciated and respected. A society that does not treat women as slaves to men. "
UG,gender_choose_not_to_identify,choose_not_to_identify,25 to 34,en,Many women will be in top leadership position
UG,woman,black_or_of_african_descent,25 to 34,en,"It is promising, we have more informed people joining the fight for women'`s human rights"
KE,woman,black_or_of_african_descent,25 to 34,en,It has improved
UG,woman,black_or_of_african_descent,25 to 34,en,"Seeing more women freedom, domestic violence free and choosing what women truly want without judgement"
UG,woman,black_or_of_african_descent,25 to 34,en,Women being able to work in any place with no fear of gender discrimination or sexual harassment. \r\nWoman not being tagged down because of social norms and low culture practices \r\nNormalizing that a woman speaking doesn'`t make her loud
UG,woman,black_or_of_african_descent,35 to 44,en,"Higher involvement of women in key activities across all sectors. Although this has come along with increased burden of responsibility which is dominant female.\r\nThe concern of double productivity to be looked at especially production and reproduction vs safety, protection and lifespan at both formal and informal level and across diversity.\r\n"
IT,woman,choose_not_to_identify,45 to 54,en,Non so
PY,woman,choose_not_to_identify,18 to 24,,
PY,woman,choose_not_to_identify,25 to 34,es,Terrible with what is overcome today 
BW,woman,black_or_of_african_descent,45 to 54,en,Not very promising 
UG,woman,black_or_of_african_descent,25 to 34,en,A society where woman enjoy equal rights and responsibilities. 
PY,woman,white,35 to 44,es,Most listened to
IT,woman,white,75 or older,it,"If we all commit ourselves, everything will be better."
PY,woman,hispanic_or_latinx,18 to 24,es,Better
PY,woman,hispanic_or_latinx,45 to 54,es,"Education for all, equal opportunities, free choice without discrimination\r\n"
PY,woman,choose_not_to_identify,25 to 34,es,"In my country the process will be very slow, especially because of how strongly linked the Catholic Church is in my country and its beliefs, and the strong ignorance of my people. "
UG,woman,black_or_of_african_descent,18 to 24,en,In ten years I think women would have progress so much since they would have known their rights and how to guard them
BW,woman,black_or_of_african_descent,35 to 44,,
UG,woman,black_or_of_african_descent,25 to 34,en,Ability to stand in great position and the public respects it without gender discriptions
PY,woman,choose_not_to_identify,18 to 24,es,It would be great I guess
IT,woman,hispanic_or_latinx,55 to 64,it,Same as today 
